block,timestamp,previousVariableBorrowIndex,variableBorrowIndex,percent_deltaIndex,currentVariableBorrowRate,utilization
24462660,1771163975,1218065646542483751097750746,1218065733562771323904955125,0.000000001190689624674945352172,37550061951523905797904951,0.690948918230143815932819961745
24462666,1771164047,1218065733562771323904955125,1218065837988446476657769061,0.000000001190704704587572713674,37550062946508807222388701,0.690948940631798014244679961848
24462667,1771164059,1218065837988446476657769061,1218065855392727000335119798,0.000000001190704701503619844516,37550738088718564641839057,0.690961364929631671749632459978
24462680,1771164215,1218065855392727000335119798,1218066081652464467630112329,0.000000001190726204246226323489,37550682364286677284768073,0.690960348385073253041355201276
24462681,1771164227,1218066081652464467630112329,1218066099057035570225140161,0.000000001190724333947438701632,37550671123914525445987582,0.690960142227696194616726188542
24462682,1771164239,1218066099057035570225140161,1218066116461601711647059643,0.000000001190723982376814099136,37550661660590249225391585,0.690959968770629817669259864488
24462685,1771164275,1218066116461601711647059643,1218066168675288469418704141,0.000000001190723698653152411326,37550724960093840141562767,0.690961135575048013279797487485
24462689,1771164323,1218066168675288469418704141,1218066238293658317563521618,0.000000001190725712474360875603,37551448915932719071448865,0.690974460162864123624615331209
24462694,1771164383,1218066238293658317563521618,1218066325318303974826438566,0.000000001190748677437625205607,37551452609543251448531743,0.690974531541528103062432819570
24462700,1771164455,1218066325318303974826438566,1218066429747897242434242539,0.000000001190748802029320209701,37551459776066004685316288,0.690974667509074658156009718368
24462707,1771164539,1218066429747897242434242539,1218066551582457288671192586,0.000000001190749039053124607677,37551460936871553990575893,0.690974693644685555860007752926
24462712,1771164599,1218066551582457288671192586,1218066638607153187093375714,0.000000001190749058614197021151,37551471409063232320338647,0.690974889759290555879545081552
24462719,1771164683,1218066638607153187093375714,1218066760441771866954038081,0.000000001190749406484078015221,37551851941753763498707243,0.690981896899731218297802115558
24462722,1771164719,1218066760441771866954038081,1218066812657141300370671849,0.000000001190761440068083928332,37551830870585367266085588,0.690981511257242053680727167375
24462723,1771164731,1218066812657141300370671849,1218066830062255175854274337,0.000000001190760749262646406767,37551830940204529861705464,0.690981513220581877732229258982
24462731,1771164827,1218066830062255175854274337,1218066969303175391209967524,0.000000001190760816338620742272,37552355014005424647328461,0.690991162412697090822177869995
24462733,1771164851,1218066969303175391209967524,1218067004113893744116142485,0.000000001190777384104298569166,37552737052867493557142438,0.690998193858464060390645045118
24462738,1771164911,1218067004113893744116142485,1218067091141579345955938366,0.000000001190789522542701206476,37552737891735509554686010,0.690998212705990155768631666433
24462740,1771164947,1218067091141579345955938366,1218067143358194858087066322,0.000000001190789534878512683109,37552738389219599540166911,0.690998223907101749574621862848
24462744,1771164995,1218067143358194858087066322,1218067212980353278613208765,0.000000001190789554924206022444,37552740970105430362638817,0.690998274128116762859974642197
24462747,1771165031,1218067212980353278613208765,1218067265196978294216107630,0.000000001190789627397097930675,37552751586244701070924749,0.690998471519986057209905538912
24462748,1771165043,1218067265196978294216107630,1218067282602525384053118234,0.000000001190789948128194048384,37552751752072714522705924,0.690998475253690402908546275285
24462756,1771165139,1218067282602525384053118234,1218067421846911671417870632,0.000000001190790015204168383889,37552762708918330031596574,0.690998682333685554368685188820
24462762,1771165211,1218067421846911671417870632,1218067526280242303748946070,0.000000001190790345958111067868,37552773347608231770016364,0.690998882194702734871327720612
24462770,1771165307,1218067526280242303748946070,1218067665524736522903248804,0.000000001190790699841700167137,37552792213050360116445932,0.690999234804622552985620131949
24462771,1771165319,1218067665524736522903248804,1218067682930308163580441761,0.000000001190791243388389375468,37552792191302056653974363,0.690999235086646512726815672067
24462775,1771165367,1218067682930308163580441761,1218067752552597173136497966,0.000000001190791261892106383622,37552798439729013830294817,0.690999352798463806202278192359
24462779,1771165415,1218067752552597173136497966,1218067822174901746648781760,0.000000001190791460807065100160,37552799098156035598516155,0.690999367643403306082916515152
24462792,1771165571,1218067822174901746648781760,1218068048447423061106064779,0.000000001190791557951579754861,37553008989265785193286129,0.691003238820343312909244559705
24462802,1771165691,1218068048447423061106064779,1218068222504210127550041181,0.000000001190798187833408488540,37551614500663769471492492,0.690977586018367007092422227288
24462809,1771165775,1218068222504210127550041181,1218068344339451490484846665,0.000000001190753945181538376421,37551615661468191598655597,0.690977612154018872026028930122
24462812,1771165811,1218068344339451490484846665,1218068396554560276348794239,0.000000001190753946062667708525,37551899888706637573981886,0.690982844403835949620429346396
24462816,1771165859,1218068396554560276348794239,1218068466175235759162447250,0.000000001190762969708695657080,37552093425573625637428275,0.690986408498373894104815917672
24462822,1771165931,1218068466175235759162447250,1218068570606794666398568853,0.000000001190769122194623719224,37552669931880512090943238,0.690997021044788883870069184923
24462823,1771165943,1218068570606794666398568853,1218068588012322563356892243,0.000000001190787357607803187420,37553085093871184184877034,0.691004661324434943381334051082
24462826,1771165979,1218068588012322563356892243,1218068640229485024836386166,0.000000001190800544590173480313,37553062399745441895715785,0.691004245765525215716706952662
24462833,1771166063,1218068640229485024836386166,1218068762069465842987705454,0.000000001190799855546994622955,37553057748684443546443762,0.691004164954769573014914385567
24462837,1771166111,1218068762069465842987705454,1218068831692308873639961339,0.000000001190799685709305726998,37553108216051690345979967,0.691005096358289105928918161226
24462846,1771166219,1218068831692308873639961339,1218068988343930765826671845,0.000000001190801325858227876800,37553495032258983750645901,0.691012220491700857039063521370
24462848,1771166243,1218068988343930765826671845,1218069023155763609339246244,0.000000001190813531115608725486,37553498711871996923590924,0.691012289545827163017577277060
24462853,1771166303,1218069023155763609339246244,1218069110185358598273840027,0.000000001190813673594230205261,37553499541008161719607517,0.691012308214483339519063065381
24462854,1771166315,1218069110185358598273840027,1218069127591278726541986936,0.000000001190813669893486803630,37553503894077199641563833,0.691012388996576354394107966073
24462856,1771166339,1218069127591278726541986936,1218069162403123764523477788,0.000000001190813817923223489250,37552726639103263779557295,0.690998087713890152272711020487
24462859,1771166375,1218069162403123764523477788,1218069214619812421698701578,0.000000001190789177139982342296,37551330798692483680149701,0.690972405259589916859397362714
24462866,1771166459,1218069214619812421698701578,1218069336454232554842068623,0.000000001190744947088262506441,37551603449596508176939786,0.690977427211743266965982002148
24462870,1771166507,1218069336454232554842068623,1218069406074412164913856914,0.000000001190753569820420359558,37551615637228924618427413,0.690977654210947811463938705856
24462872,1771166531,1218069406074412164913856914,1218069440884514760014190300,0.000000001190753939894761970208,37553367366110268826208300,0.691009889992387327239953265234
24462877,1771166591,1218069440884514760014190300,1218069527913835203489684040,0.000000001190809510257887860924,37553368189732617054570732,0.691009908559549135276256492944
24462888,1771166723,1218069527913835203489684040,1218069719378366266130713408,0.000000001190809587300637084106,37553401109980425019523803,0.691010521845919489791754131147
24462890,1771166747,1218069719378366266130713408,1218069754190132936897227876,0.000000001190810552017159245717,37553402406104756275038440,0.691010547061051916273299866589
24462893,1771166783,1218069754190132936897227876,1218069806407786610735630634,0.000000001190810604444357607817,37553403385819740200906118,0.691010567136039810520742321387
24462896,1771166819,1218069806407786610735630634,1218069858625443885386699045,0.000000001190810635283886092604,37553335678522941170776793,0.691009323267776975896481417294
24462897,1771166831,1218069858625443885386699045,1218069876031298758931688168,0.000000001190808470348988073549,37553335844350344540083405,0.691009327001502526854892494157
24462900,1771166867,1218069876031298758931688168,1218069928248865102494985214,0.000000001190808495020610820020,37553336481411766723278438,0.691009340771040148077020148776
24462904,1771166915,1218069928248865102494985214,1218069997872291557159653144,0.000000001190808521234210104467,37553317855408977573913968,0.691009000753878166456445342192
24462911,1771166999,1218069997872291557159653144,1218070119713236997041455916,0.000000001190807957531686390287,37553323063994606077114728,0.691009101372370149185542231862
24462913,1771167023,1218070119713236997041455916,1218070154524942760996849506,0.000000001190808081770929454744,37553325476000973970705853,0.691009147121386058110203975957
24462923,1771167143,1218070154524942760996849506,1218070328583497683815268993,0.000000001190808224249550934519,37553326978855908478260463,0.691009181598695731985060319857
24462928,1771167215,1218070328583497683815268993,1218070433018646755692363481,0.000000001190808239052524747838,37553680971495169709667210,0.691015699684094264476641455985
24462930,1771167239,1218070433018646755692363481,1218070467830693251927886516,0.000000001190819424549497846290,37553572551748087970639816,0.691013705963782309815712778800
24462933,1771167275,1218070467830693251927886516,1218070520048614105017392348,0.000000001190816001361838516459,37553583764580086273284632,0.691013914343397539497004800069
24462939,1771167347,1218070520048614105017392348,1218070624484493709542519037,0.000000001190816380688038527789,37553612247192857475625722,0.691014442559519603825890499138
24462943,1771167395,1218070624484493709542519037,1218070694108471226898150696,0.000000001190817268866458227914,37553612922074769054447917,0.691014457707429863297932115529
24462953,1771167515,1218070694108471226898150696,1218070868168435559328338582,0.000000001190817339180583272491,37553603757646063925544384,0.691014295890978291758699469938
24462959,1771167587,1218070868168435559328338582,1218070972604400611617749003,0.000000001190817015982324818096,37553797649397177343376629,0.691017867881856262535222867882
24462962,1771167623,1218070972604400611617749003,1218071024822656100529811103,0.000000001190823137628724602248,37553798175833675693163124,0.691017879615911101431890983804
24462964,1771167647,1218071024822656100529811103,1218071059634828158129169715,0.000000001190823143796630340565,37554079064794011983829098,0.691023049546976797508079926047
